City,Age,Income,Vehicle_Ownership,Vehicle_Usage,Vehicle_Type,EV_Market_Share,Charging_Stations_Available,Psychographic,Behavioral
Hyderabad,53,82175,1,44,4-wheeler,0.3040419762614264,1,Status-seeking,Long Distance
Delhi,26,137472,1,46,E-rickshaw,0.2961180773936645,49,Tech-savvy,Weekend Trips
Delhi,56,52624,1,15,2-wheeler,0.3486383083778791,0,Tech-savvy,Long Distance
Delhi,68,96121,0,38,4-wheeler,0.3916830356919253,12,Status-seeking,Daily Commuting
Delhi,36,81264,1,16,4-wheeler,0.24246846897674984,69,Cost-conscious,Daily Commuting
Mumbai,55,133766,1,49,2-wheeler,0.30185675334649137,21,Eco-friendly,Weekend Trips
Pune,23,51958,1,31,E-rickshaw,0.33404167432926934,16,Cost-conscious,Rare Usage
Bangalore,69,144095,1,16,2-wheeler,0.4953512335343645,58,Cost-conscious,Rare Usage
Delhi,64,21695,0,17,2-wheeler,0.3350848785823667,85,Cost-conscious,Weekend Trips
Hyderabad,32,120211,1,12,E-rickshaw,0.18967462029690269,69,Tech-savvy,Weekend Trips
Delhi,37,139502,0,20,2-wheeler,0.3351959432961043,2,Eco-friendly,Rare Usage
Hyderabad,26,69932,1,33,2-wheeler,0.42779983317960724,69,Tech-savvy,Rare Usage
Hyderabad,49,119323,1,39,E-rickshaw,0.44296147200447633,80,Tech-savvy,Daily Commuting
Delhi,21,64225,1,33,4-wheeler,0.42010018183720466,98,Tech-savvy,Daily Commuting
Mumbai,67,21403,1,35,4-wheeler,0.4552837661155368,48,Eco-friendly,Daily Commuting
Hyderabad,35,103346,1,17,4-wheeler,0.233906536751651,49,Status-seeking,Rare Usage
Hyderabad,22,94391,0,16,4-wheeler,0.3030282483810648,34,Tech-savvy,Weekend Trips
Delhi,37,58636,1,6,4-wheeler,0.41183643840301765,22,Tech-savvy,Long Distance
Hyderabad,40,30839,0,37,2-wheeler,0.20577998030363936,71,Tech-savvy,Daily Commuting
Hyderabad,28,85546,1,12,E-rickshaw,0.24863257514068043,6,Eco-friendly,Long Distance
Delhi,54,124634,0,45,4-wheeler,0.4324622618224049,49,Eco-friendly,Weekend Trips
Delhi,39,67829,1,44,E-rickshaw,0.4080342598481933,9,Cost-conscious,Rare Usage
Bangalore,21,29230,1,45,4-wheeler,0.48847982716643557,89,Tech-savvy,Daily Commuting
Mumbai,46,71977,1,36,2-wheeler,0.4983896234058601,54,Tech-savvy,Rare Usage
Mumbai,61,60232,1,42,4-wheeler,0.19629781878855163,73,Eco-friendly,Weekend Trips
Hyderabad,51,133050,1,32,4-wheeler,0.46017999446946933,18,Eco-friendly,Daily Commuting
Mumbai,30,121307,1,19,E-rickshaw,0.13780620054002768,22,Tech-savvy,Weekend Trips
Hyderabad,59,114792,1,27,E-rickshaw,0.38392008358562224,94,Status-seeking,Weekend Trips
Bangalore,26,45651,1,28,2-wheeler,0.1880397550702204,63,Cost-conscious,Daily Commuting
Delhi,59,117919,1,17,E-rickshaw,0.2201244627690251,32,Cost-conscious,Long Distance
Delhi,48,59963,1,25,E-rickshaw,0.47852847106581675,65,Tech-savvy,Daily Commuting
Delhi,24,75872,1,16,E-rickshaw,0.2052604946936848,91,Cost-conscious,Rare Usage
Mumbai,21,137776,1,17,2-wheeler,0.3692711476642522,95,Cost-conscious,Long Distance
Bangalore,36,99198,1,43,2-wheeler,0.17125140314530246,96,Tech-savvy,Daily Commuting
Mumbai,59,33739,1,27,2-wheeler,0.13735599102819507,8,Cost-conscious,Daily Commuting
Mumbai,47,83294,0,47,E-rickshaw,0.2357268101375458,28,Eco-friendly,Daily Commuting
Bangalore,48,68356,1,32,E-rickshaw,0.34967844031579254,78,Tech-savvy,Daily Commuting
Bangalore,52,21789,1,18,2-wheeler,0.19917805750163248,17,Eco-friendly,Daily Commuting
Bangalore,38,39420,1,21,E-rickshaw,0.22006751946866962,81,Tech-savvy,Rare Usage
Bangalore,48,109297,1,28,E-rickshaw,0.3834919274425821,70,Eco-friendly,Weekend Trips
Delhi,36,125902,0,38,4-wheeler,0.14111840919254762,77,Cost-conscious,Rare Usage
Pune,48,57606,0,26,2-wheeler,0.278762036721403,28,Status-seeking,Weekend Trips
Pune,49,58640,1,14,2-wheeler,0.47669381195288973,82,Eco-friendly,Daily Commuting
Bangalore,19,138341,1,12,E-rickshaw,0.25878866496569,60,Eco-friendly,Rare Usage
Pune,69,64135,1,25,E-rickshaw,0.27368041119097575,4,Status-seeking,Weekend Trips
Pune,27,57067,1,41,4-wheeler,0.3952817214429156,68,Status-seeking,Weekend Trips
Bangalore,19,78420,1,11,2-wheeler,0.41160460881313876,55,Eco-friendly,Daily Commuting
Pune,19,37357,1,30,2-wheeler,0.40784255591220986,51,Eco-friendly,Daily Commuting
Mumbai,41,59851,1,17,E-rickshaw,0.49914680996542893,14,Eco-friendly,Long Distance
Hyderabad,34,58262,1,20,2-wheeler,0.12858043499482294,89,Tech-savvy,Long Distance
Hyderabad,49,144745,1,34,E-rickshaw,0.4929013138531998,87,Eco-friendly,Weekend Trips
Bangalore,33,96853,0,35,4-wheeler,0.48007584679895954,82,Eco-friendly,Long Distance
Delhi,33,78643,1,9,E-rickshaw,0.4408555601038232,19,Status-seeking,Rare Usage
Bangalore,63,138094,1,36,4-wheeler,0.2816502303408167,72,Status-seeking,Weekend Trips
Delhi,56,41534,1,20,E-rickshaw,0.4483609486535698,91,Tech-savvy,Rare Usage
Hyderabad,48,111270,1,13,4-wheeler,0.1883329649224381,15,Tech-savvy,Long Distance
Bangalore,60,121433,1,26,4-wheeler,0.4166623341551321,74,Cost-conscious,Rare Usage
Mumbai,41,52872,0,48,2-wheeler,0.17409532124842167,97,Eco-friendly,Weekend Trips
Pune,18,125737,1,44,E-rickshaw,0.4261448013884719,24,Eco-friendly,Rare Usage
Delhi,28,27689,0,49,2-wheeler,0.3458116533056228,56,Status-seeking,Weekend Trips
Pune,38,89103,1,41,2-wheeler,0.13921251180541022,20,Cost-conscious,Long Distance
Pune,21,106268,1,18,E-rickshaw,0.45812782214289016,4,Eco-friendly,Weekend Trips
Bangalore,24,106310,1,20,2-wheeler,0.3311828781820978,74,Cost-conscious,Long Distance
Pune,43,108731,0,47,2-wheeler,0.3624993112548459,8,Tech-savvy,Daily Commuting
Mumbai,64,135869,0,24,2-wheeler,0.21340401426064404,10,Eco-friendly,Long Distance
Pune,67,57412,0,48,E-rickshaw,0.4486542015691226,64,Eco-friendly,Weekend Trips
Bangalore,29,67734,0,19,2-wheeler,0.3180802940614254,62,Tech-savvy,Weekend Trips
Mumbai,48,129634,1,48,2-wheeler,0.2684481137166014,25,Eco-friendly,Daily Commuting
Hyderabad,34,107793,1,30,2-wheeler,0.313712698091327,73,Tech-savvy,Daily Commuting
Pune,50,89930,1,13,E-rickshaw,0.3813252325871107,18,Tech-savvy,Long Distance
Bangalore,28,121838,0,5,4-wheeler,0.378019150279708,15,Cost-conscious,Rare Usage
Hyderabad,45,42228,1,39,4-wheeler,0.24303084038312509,55,Status-seeking,Rare Usage
Hyderabad,49,140627,1,48,4-wheeler,0.25410331204250425,67,Status-seeking,Daily Commuting
Delhi,18,97924,0,24,4-wheeler,0.32489527713537086,77,Tech-savvy,Long Distance
Mumbai,64,31319,1,49,2-wheeler,0.46976284828679515,29,Cost-conscious,Daily Commuting
Pune,45,26475,0,10,E-rickshaw,0.39817210678639026,6,Tech-savvy,Daily Commuting
Bangalore,59,117091,0,46,2-wheeler,0.25616599414622265,11,Cost-conscious,Weekend Trips
Delhi,24,103694,1,14,E-rickshaw,0.23481305062070446,23,Cost-conscious,Weekend Trips
Mumbai,19,34728,1,37,2-wheeler,0.30945466965492585,21,Status-seeking,Weekend Trips
Delhi,59,130310,1,20,4-wheeler,0.44799654756583795,46,Status-seeking,Daily Commuting
Mumbai,41,49545,1,40,4-wheeler,0.10347169663835008,29,Cost-conscious,Long Distance
Mumbai,21,116636,1,10,E-rickshaw,0.38419442731582565,59,Status-seeking,Rare Usage
Pune,61,142971,1,23,2-wheeler,0.21780490217510678,38,Cost-conscious,Rare Usage
Mumbai,36,101686,1,35,4-wheeler,0.18335899208646797,19,Eco-friendly,Weekend Trips
Delhi,43,118750,1,6,E-rickshaw,0.10485519872670356,25,Tech-savvy,Long Distance
Mumbai,28,118412,0,22,2-wheeler,0.4586362482501908,48,Status-seeking,Weekend Trips
Pune,57,81756,0,46,E-rickshaw,0.46489938800257624,68,Tech-savvy,Long Distance
Pune,67,88775,1,32,2-wheeler,0.12456697665752806,41,Status-seeking,Long Distance
Delhi,60,58699,1,8,2-wheeler,0.3087261292205442,5,Tech-savvy,Long Distance
Hyderabad,28,56821,0,5,2-wheeler,0.16102978346944397,52,Tech-savvy,Daily Commuting
Hyderabad,62,50615,1,46,E-rickshaw,0.4034750218593096,33,Status-seeking,Long Distance
Mumbai,20,33746,0,20,E-rickshaw,0.36615658870645873,68,Status-seeking,Daily Commuting
Bangalore,29,106457,1,49,2-wheeler,0.21885232518205774,9,Status-seeking,Rare Usage
Mumbai,20,42745,0,6,4-wheeler,0.14678411241614617,27,Status-seeking,Rare Usage
Delhi,59,21245,1,40,2-wheeler,0.43248826512295546,2,Cost-conscious,Daily Commuting
Delhi,44,137408,1,5,E-rickshaw,0.36970099171394044,76,Status-seeking,Rare Usage
Delhi,66,132143,0,43,2-wheeler,0.10272797800102113,47,Status-seeking,Rare Usage
Delhi,19,44853,1,27,E-rickshaw,0.3511487123744421,65,Status-seeking,Weekend Trips
Delhi,66,47632,1,30,2-wheeler,0.4241184110785384,34,Eco-friendly,Daily Commuting
Pune,33,32856,0,15,2-wheeler,0.33630722383059314,51,Tech-savvy,Daily Commuting
Hyderabad,19,76893,0,46,4-wheeler,0.2698854706706879,61,Status-seeking,Daily Commuting
Delhi,47,90641,1,5,4-wheeler,0.333567351416926,51,Status-seeking,Weekend Trips
Bangalore,37,121226,1,15,E-rickshaw,0.34788482269893894,46,Tech-savvy,Daily Commuting
Bangalore,55,88049,1,28,2-wheeler,0.35601384957685234,53,Tech-savvy,Rare Usage
Bangalore,45,78182,0,14,E-rickshaw,0.4868180215617455,27,Cost-conscious,Long Distance
Bangalore,42,22801,1,18,2-wheeler,0.17145911502334332,22,Tech-savvy,Weekend Trips
Pune,49,117881,0,18,2-wheeler,0.34923725092556235,86,Tech-savvy,Weekend Trips
Bangalore,27,99431,1,11,2-wheeler,0.1751973278518738,34,Eco-friendly,Daily Commuting
Delhi,59,59749,1,27,4-wheeler,0.18398268809960472,31,Cost-conscious,Long Distance
Mumbai,57,93757,1,47,E-rickshaw,0.3677031534829468,1,Eco-friendly,Long Distance
Bangalore,50,75654,1,26,2-wheeler,0.4663816339887932,15,Tech-savvy,Long Distance
Pune,30,91574,1,40,2-wheeler,0.16361769883969662,15,Status-seeking,Rare Usage
Pune,58,117567,1,31,E-rickshaw,0.48498621350257043,50,Cost-conscious,Long Distance
Bangalore,59,75381,1,6,E-rickshaw,0.2277489304064916,66,Tech-savvy,Daily Commuting
Mumbai,64,78601,1,43,2-wheeler,0.25652561738272006,91,Tech-savvy,Rare Usage
Bangalore,54,35082,1,23,4-wheeler,0.16147232957553503,92,Status-seeking,Long Distance
Pune,33,34648,1,11,4-wheeler,0.34633444234066013,53,Status-seeking,Daily Commuting
Hyderabad,62,20364,1,16,2-wheeler,0.3385681978495869,19,Status-seeking,Rare Usage
Delhi,39,54568,1,7,4-wheeler,0.2769078972410597,99,Cost-conscious,Rare Usage
Pune,37,99646,1,9,E-rickshaw,0.29043655595373435,32,Eco-friendly,Long Distance
Bangalore,67,91494,1,12,4-wheeler,0.3491903503147563,85,Cost-conscious,Rare Usage
Delhi,60,94632,1,18,E-rickshaw,0.33339861398574333,7,Status-seeking,Weekend Trips
Bangalore,44,27436,1,40,E-rickshaw,0.24970535265936464,23,Cost-conscious,Daily Commuting
Bangalore,58,106713,1,11,E-rickshaw,0.4536457541199467,52,Status-seeking,Long Distance
Hyderabad,33,46754,1,11,E-rickshaw,0.3670642092509424,63,Eco-friendly,Daily Commuting
Delhi,51,80194,1,36,4-wheeler,0.1821625322399235,57,Cost-conscious,Daily Commuting
Delhi,49,44544,1,12,E-rickshaw,0.22796119740229095,36,Eco-friendly,Weekend Trips
Hyderabad,43,80180,1,16,2-wheeler,0.4151512406813015,83,Eco-friendly,Rare Usage
Pune,42,83295,1,14,E-rickshaw,0.1418101524080398,11,Status-seeking,Weekend Trips
Bangalore,19,32638,1,18,2-wheeler,0.40009279948971876,83,Cost-conscious,Weekend Trips
Mumbai,29,85715,1,13,E-rickshaw,0.24353697645831815,83,Cost-conscious,Rare Usage
Bangalore,57,89409,0,42,E-rickshaw,0.32067641844337424,3,Eco-friendly,Long Distance
Bangalore,26,148479,0,34,4-wheeler,0.21222324686913585,93,Status-seeking,Daily Commuting
Pune,29,138648,0,9,E-rickshaw,0.49458262872817116,30,Eco-friendly,Long Distance
Bangalore,43,103106,1,5,E-rickshaw,0.46233611685692166,85,Eco-friendly,Long Distance
Hyderabad,26,148782,1,5,4-wheeler,0.4713799347777007,78,Eco-friendly,Weekend Trips
Hyderabad,27,146839,0,24,4-wheeler,0.1739102071910067,37,Eco-friendly,Rare Usage
Delhi,49,133759,1,15,2-wheeler,0.43667603838470603,36,Cost-conscious,Rare Usage
Mumbai,51,37157,1,30,4-wheeler,0.3141588404096361,91,Tech-savvy,Daily Commuting
Bangalore,65,65565,1,48,2-wheeler,0.38314368010945554,74,Cost-conscious,Rare Usage
Bangalore,37,89996,1,7,E-rickshaw,0.1870016266961786,13,Status-seeking,Long Distance
Pune,56,133620,1,10,2-wheeler,0.38479385839168645,74,Tech-savvy,Rare Usage
Hyderabad,19,85888,0,47,4-wheeler,0.4657068978289185,72,Eco-friendly,Rare Usage
Mumbai,18,76095,1,49,E-rickshaw,0.20699255433951996,23,Cost-conscious,Long Distance
Delhi,68,84947,0,15,2-wheeler,0.19334394061980265,9,Tech-savvy,Daily Commuting
Hyderabad,53,107122,1,12,2-wheeler,0.14176581938939112,37,Eco-friendly,Daily Commuting
Delhi,41,90880,1,33,2-wheeler,0.20672267012466441,42,Cost-conscious,Long Distance
Pune,44,24507,0,14,E-rickshaw,0.31431690472624496,36,Tech-savvy,Rare Usage
Pune,19,123134,0,38,2-wheeler,0.43308651657502417,41,Cost-conscious,Rare Usage
Bangalore,48,63988,1,28,2-wheeler,0.2115201050630558,31,Tech-savvy,Daily Commuting
Mumbai,31,118421,1,21,4-wheeler,0.3484577556277254,83,Status-seeking,Daily Commuting
Delhi,19,36865,1,36,2-wheeler,0.291836279669216,13,Cost-conscious,Daily Commuting
Hyderabad,46,122591,0,15,E-rickshaw,0.21543161624710866,3,Cost-conscious,Weekend Trips
Pune,32,149614,0,38,4-wheeler,0.3041436324778589,23,Tech-savvy,Daily Commuting
Bangalore,29,47213,1,28,E-rickshaw,0.16718495855835086,95,Status-seeking,Rare Usage
Bangalore,54,75954,0,9,4-wheeler,0.35583102393940724,9,Cost-conscious,Daily Commuting
Delhi,45,77450,1,33,4-wheeler,0.14626508847354028,15,Status-seeking,Rare Usage
Pune,37,24477,0,38,2-wheeler,0.3923922100572913,38,Status-seeking,Rare Usage
Mumbai,56,82222,1,20,E-rickshaw,0.17108507135420287,95,Cost-conscious,Rare Usage
Pune,41,26533,0,29,2-wheeler,0.4992636613267487,17,Eco-friendly,Daily Commuting
Delhi,38,69395,0,41,4-wheeler,0.4294690379041648,24,Tech-savvy,Daily Commuting
Delhi,27,145512,1,12,2-wheeler,0.23753612154388892,6,Cost-conscious,Long Distance
Pune,63,43396,1,33,4-wheeler,0.27048190891572493,55,Status-seeking,Daily Commuting
Delhi,31,32755,0,29,4-wheeler,0.20367640844307539,46,Tech-savvy,Daily Commuting
Pune,54,20865,0,46,E-rickshaw,0.4068458244719997,81,Cost-conscious,Daily Commuting
Hyderabad,35,31173,0,27,E-rickshaw,0.2522907879831096,81,Tech-savvy,Weekend Trips
Pune,41,78905,1,38,E-rickshaw,0.40207420392781434,2,Tech-savvy,Daily Commuting
Pune,31,58097,1,7,E-rickshaw,0.10736062187207224,0,Status-seeking,Weekend Trips
Delhi,51,53371,0,34,2-wheeler,0.1542483838018383,32,Eco-friendly,Rare Usage
Delhi,29,124060,1,38,E-rickshaw,0.24598973388102743,70,Eco-friendly,Rare Usage
Bangalore,39,31254,1,36,E-rickshaw,0.1435634133578371,73,Tech-savvy,Rare Usage
Bangalore,23,24018,1,33,E-rickshaw,0.34045119691849635,58,Status-seeking,Rare Usage
Hyderabad,53,25192,1,13,4-wheeler,0.12033283941364932,71,Status-seeking,Weekend Trips
Bangalore,62,22015,1,6,4-wheeler,0.44390519783573723,31,Cost-conscious,Weekend Trips
Pune,53,128154,0,43,E-rickshaw,0.404523199502393,86,Tech-savvy,Rare Usage
Delhi,39,88916,0,11,4-wheeler,0.186502591691181,16,Cost-conscious,Daily Commuting
Bangalore,31,48343,1,9,4-wheeler,0.2935167624518871,77,Status-seeking,Rare Usage
Bangalore,33,89306,1,12,2-wheeler,0.2807252313643682,16,Tech-savvy,Rare Usage
Hyderabad,53,25829,1,36,4-wheeler,0.38994584613615113,88,Eco-friendly,Weekend Trips
Hyderabad,42,54381,1,22,2-wheeler,0.2606035601898036,20,Eco-friendly,Rare Usage
Pune,49,131451,1,42,4-wheeler,0.1131741191319383,54,Cost-conscious,Weekend Trips
Delhi,50,101081,1,22,E-rickshaw,0.20949434353993546,5,Tech-savvy,Long Distance
Hyderabad,62,38263,0,45,4-wheeler,0.28647832209481683,83,Status-seeking,Weekend Trips
Bangalore,53,123676,1,49,4-wheeler,0.48979688646425557,48,Cost-conscious,Rare Usage
Delhi,37,73260,0,20,2-wheeler,0.4524634667817381,83,Eco-friendly,Daily Commuting
Delhi,35,63306,0,25,E-rickshaw,0.17256245760087618,25,Status-seeking,Weekend Trips
Bangalore,55,111211,1,14,2-wheeler,0.3893103761963085,31,Tech-savvy,Weekend Trips
Hyderabad,20,78418,0,46,E-rickshaw,0.47473018920591503,71,Eco-friendly,Weekend Trips
Bangalore,40,110898,0,8,E-rickshaw,0.10351704521410343,43,Status-seeking,Rare Usage
Delhi,49,20148,0,48,2-wheeler,0.38837826946833043,58,Eco-friendly,Rare Usage
Mumbai,62,21754,1,12,4-wheeler,0.283733398244463,28,Tech-savvy,Weekend Trips
Mumbai,33,46745,1,23,E-rickshaw,0.3720944785132445,16,Cost-conscious,Daily Commuting
Pune,22,92914,0,44,4-wheeler,0.3422357094287161,17,Status-seeking,Rare Usage
Bangalore,21,131895,1,44,2-wheeler,0.4938661977822806,39,Status-seeking,Daily Commuting
Bangalore,38,75833,0,13,2-wheeler,0.21552616251914714,62,Tech-savvy,Long Distance
Pune,57,40140,1,34,2-wheeler,0.414457192747706,81,Eco-friendly,Daily Commuting
Pune,68,94907,1,21,2-wheeler,0.19385595532522448,74,Eco-friendly,Rare Usage
Pune,31,80653,1,44,E-rickshaw,0.27424319102006917,44,Eco-friendly,Weekend Trips
Delhi,56,112535,1,48,2-wheeler,0.49015234958696474,75,Status-seeking,Long Distance
Bangalore,48,81521,1,19,4-wheeler,0.40645451840566105,78,Status-seeking,Daily Commuting
Delhi,31,98315,1,8,4-wheeler,0.22632850251342362,89,Eco-friendly,Weekend Trips
Pune,23,51075,1,10,E-rickshaw,0.34774771323678,2,Status-seeking,Long Distance
Bangalore,29,50697,1,20,2-wheeler,0.11987683340111,2,Cost-conscious,Daily Commuting
Delhi,33,143804,1,30,E-rickshaw,0.20655796664838788,37,Tech-savvy,Weekend Trips
Delhi,34,74544,1,41,E-rickshaw,0.38735619584144587,98,Tech-savvy,Long Distance
Pune,62,29795,0,27,E-rickshaw,0.32803742783532996,72,Status-seeking,Rare Usage
Bangalore,40,84555,0,17,2-wheeler,0.28786914119070894,39,Cost-conscious,Daily Commuting
Pune,31,72204,1,21,4-wheeler,0.3763504240063853,67,Cost-conscious,Daily Commuting
Bangalore,24,123996,1,31,4-wheeler,0.2593835563279304,53,Eco-friendly,Long Distance
Mumbai,63,89754,1,26,E-rickshaw,0.11046245781296525,19,Tech-savvy,Daily Commuting
Hyderabad,49,84860,0,41,E-rickshaw,0.27641064940622695,14,Tech-savvy,Weekend Trips
Hyderabad,32,123107,0,23,4-wheeler,0.46085167691730466,92,Tech-savvy,Daily Commuting
Hyderabad,61,71529,1,43,4-wheeler,0.4426460513256485,4,Status-seeking,Daily Commuting
Pune,34,31672,1,39,2-wheeler,0.2635988741638052,38,Cost-conscious,Weekend Trips
Mumbai,58,74238,0,17,E-rickshaw,0.10888857630415308,39,Eco-friendly,Weekend Trips
Bangalore,64,116578,1,18,2-wheeler,0.35452290904812633,6,Status-seeking,Rare Usage
Delhi,61,55950,1,35,4-wheeler,0.39647777111314586,71,Eco-friendly,Weekend Trips
Bangalore,51,31009,1,49,4-wheeler,0.21769743043370995,95,Status-seeking,Daily Commuting
Delhi,22,67096,1,6,4-wheeler,0.2906655998478297,99,Tech-savvy,Long Distance
Bangalore,62,39544,1,43,4-wheeler,0.49674271809908344,32,Eco-friendly,Daily Commuting
Mumbai,44,75728,1,41,2-wheeler,0.33053720519263946,36,Cost-conscious,Rare Usage
Delhi,69,49381,1,18,4-wheeler,0.24042996226462665,31,Cost-conscious,Long Distance
Pune,40,147769,0,13,E-rickshaw,0.35099555065605326,42,Status-seeking,Rare Usage
Bangalore,57,45287,1,14,4-wheeler,0.17200892274563379,62,Tech-savvy,Daily Commuting
Bangalore,31,84610,0,11,E-rickshaw,0.17970094930983202,35,Status-seeking,Weekend Trips
Delhi,32,88122,0,32,4-wheeler,0.46996988588560684,97,Eco-friendly,Long Distance
Pune,60,88184,1,29,2-wheeler,0.19568001646773228,48,Cost-conscious,Daily Commuting
Pune,50,60081,1,32,E-rickshaw,0.22431575168629767,24,Cost-conscious,Long Distance
Mumbai,48,103637,1,6,2-wheeler,0.31751089678790156,95,Cost-conscious,Rare Usage
Pune,52,65312,1,21,4-wheeler,0.4598770481110426,65,Cost-conscious,Daily Commuting
Pune,34,107228,1,8,2-wheeler,0.41257955588760575,8,Eco-friendly,Long Distance
Pune,45,92943,1,17,4-wheeler,0.11751356826794997,92,Cost-conscious,Daily Commuting
Hyderabad,36,102790,1,22,2-wheeler,0.37721186755934777,17,Status-seeking,Daily Commuting
Mumbai,63,100770,1,7,2-wheeler,0.3016245930735971,21,Cost-conscious,Rare Usage
Bangalore,40,72726,0,41,E-rickshaw,0.29022113680095224,98,Eco-friendly,Rare Usage
Delhi,49,42211,1,37,4-wheeler,0.37662334673021725,14,Tech-savvy,Rare Usage
Bangalore,57,49480,1,45,2-wheeler,0.17849281848761767,6,Tech-savvy,Weekend Trips
Mumbai,30,67780,1,28,4-wheeler,0.4925954654646879,12,Cost-conscious,Long Distance
Delhi,37,77138,1,12,E-rickshaw,0.35812261210897967,35,Tech-savvy,Rare Usage
Mumbai,52,110382,1,39,2-wheeler,0.24626246984474248,15,Eco-friendly,Weekend Trips
Pune,22,62503,1,6,4-wheeler,0.3400808832280645,40,Cost-conscious,Weekend Trips
